name,score
ROHA,32
GREEN,26
ED,105
JARROD,60
BRICE,40
PATRICK,60
LUKE,22
ROHA,85
BK,71
ELLE,95
LUKE,65
AEGON,41
ROHA,65
ZEN🎄,60
LUKE,44
OLIVIA,45
ROHA,24
ELLE,26
MEIIA,60
WOODY,41
CROW,87
ZEN🎄,60
ZEN🎄,90
JUSTIN,41
LUCAS,60
GREEN,60
ELLE,60
DANE,28
LUCA,60
ED,60
ED,60
JOY,103
MEIIA,70
ROHA,60
PHILIP,60
AEGON,95
ALLAN,41
PHILIP,55
ALLAN,90
ALLAN,45
PHILIP,48
BRICE,60
YENNY,5
MILES,65
THOR,90
GLORIA,56
AEGON,95
ELLE,75
JUSTIN,51
ELLIE,69
CROW,94
ZEN🎄,60
LIAM,57
SANG❄️HWA,95
ALLAN,22
GOLD,60
ZEN🎄,100
ALLAN,60
DANIEL,89
MEIIA,100
LUCA,60
ALLAN,60
ROHA,59
ELLA❄️,60
JEFF,40
CHLOE,42
LUKE,60
DEAN,60
LUCA,60
ELLA❄️,43
RO,4
LUKE,65
DANIEL,60
ROHA,60
ZEN🎄,60
ZEN🎄,100
JEFF,65
LUCA,90
JOY,60
RINA,43
DEAN,45
ZEN🎄,100
LUCA,53
ED,60
ELLE,60
GREEN,75
BK,29
MEIIA,29
ROHA,65
LUMI,43
ZEN🎄,60
DANIEL,120
THOR,60
ED,60
ALLAN,65
MILES,100
OLIVIA,9
WENDY🎅,46
LUKE,45
IVAN,70
DEAN,60
ROHA,60
DANE,71
WADE,4
ROHA,75
THOR,65
PATRICK,40
PATRICK,60
JUSTIN,95
CINDY,43
LUCA,140
JUSTIN,130
GLORIA,41
TIANA,43
MEIIA,60
ZEN🎄,60
PATRICK,47
JUSTIN,60
WADE,60
MARVIN,100
ROMY,113
CROW,23
THOR,48
LUCAS,43
DEAN,9
JUSTIN,53
ROHA,60
SILO,65
ED,60
JEFF,67
JOHN,67
ALLAN,60
JEFF,78
IVAN,48
LIAM,88
IVAN,70
ROHA,60
LUKE,62
IVAN,54
GLORIA,78
BEN,65
PATRICK,43
ROHA,45
ELLE,60
DEAN,70
ERIC,48
DERRI,31
ELLE,43
IVAN,48
IVAN,44
JEFF,46
JEFF,70
BEN,44
NIKE,60
TIANA,68
MILES,53
DANIEL,48
DEAN,4
DEAN,60
DERRI,65
ELRIC,90
AEGON,43
ED,60
ALLAN,76
RIVER,31
JEFF,60
JUSTIN,60
JOHN,52
IVAN,78
BK,63
IVAN,48
JEFF,59
ZUNE,59
ELLE,60
ELLE,60
ED,60
BK,95
CROW,26
ZUNE,60
GOLD,73
DEAN,46
JOHN,57
PATRICK,60
TIANA,59
DEAN,45
ALLAN,60
MILES,60
BK,52
ZEN🎄,65
PATRICK,43
PHILIP,60
OCEAN,57
GOLD,48
ZEN🎄,5
DEAN,70
LUKE,60
MARVIN,60
ALLAN,60
ALLAN,140
ROHA,65
NIKE,100
JUDY,46
ROHA,60
ZEN🎄,60
DERRICK,60
JEFF,70
THOR,60
JARROD,100
LUCA,83
JEFF,54
CINDY,9
BRANDON,45
WENDY🎅,50
ROHA,60
BRANDON,45
ALLAN,22
THOR,60
DERRI,45
ALLAN,90
ZEN🎄,60
AEGON,45
VAN,26
ROHA,90
BRANDON,100
WOODY,53
